TID: [-1234] [] [2017-12-07 21:56:59,747]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender} -  Pass-through HTTPS Sender started... {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender}
TID: [-1234] [] [2017-12-07 21:56:59,758]  INFO {org.wso2.carbon.websocket.transport.WebsocketTransportSender} -  WS Sender started {org.wso2.carbon.websocket.transport.WebsocketTransportSender}
TID: [-1234] [] [2017-12-07 21:56:59,794]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpListener} -  Initializing Pass-through HTTP/S Listener... {org.apache.synapse.transport.passthru.PassThroughHttpListener}
TID: [-1234] [] [2017-12-07 21:56:59,890]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSSLListener} -  Initializing Pass-through HTTP/S Listener... {org.apache.synapse.transport.passthru.PassThroughHttpSSLListener}
TID: [-1234] [] [2017-12-07 21:57:02,685]  INFO {org.apache.axis2.deployment.ModuleDeployer} -  Deploying module: addressing-1.6.1-wso2v20 - file:/C:/softwares/value-labs/wso2am-2.1.0/bin/../repository/deployment/client/modules/addressing-1.6.1-wso2v20.mar {org.apache.axis2.deployment.ModuleDeployer}
TID: [-1234] [] [2017-12-07 21:57:03,579]  INFO {org.apache.axis2.deployment.DeploymentEngine} -  Deploying Web service: org.wso2.carbon.andes.admin-3.1.6 -  {org.apache.axis2.deployment.DeploymentEngine}
TID: [-1234] [] [2017-12-07 21:57:03,720]  INFO {org.apache.axis2.deployment.DeploymentEngine} -  Deploying Web service: org.wso2.carbon.andes.event.admin-3.1.6 -  {org.apache.axis2.deployment.DeploymentEngine}
TID: [-1234] [] [2017-12-07 21:57:05,717]  INFO {org.apache.axis2.deployment.DeploymentEngine} -  Deploying Web service: org.wso2.carbon.identity.application.authentication.framework-5.7.5 -  {org.apache.axis2.deployment.DeploymentEngine}
TID: [-1234] [] [2017-12-07 21:57:06,105]  INFO {org.apache.axis2.deployment.DeploymentEngine} -  Deploying Web service: org.wso2.carbon.identity.discovery-5.3.4 -  {org.apache.axis2.deployment.DeploymentEngine}
TID: [-1234] [] [2017-12-07 21:57:06,641]  INFO {org.apache.axis2.deployment.DeploymentEngine} -  Deploying Web service: org.wso2.carbon.identity.webfinger-5.3.4 -  {org.apache.axis2.deployment.DeploymentEngine}
TID: [-1234] [] [2017-12-07 21:57:07,350]  INFO {org.apache.axis2.deployment.DeploymentEngine} -  Deploying Web service: org.wso2.carbon.message.processor-4.6.10 -  {org.apache.axis2.deployment.DeploymentEngine}
TID: [-1234] [] [2017-12-07 21:57:07,379]  INFO {org.apache.axis2.deployment.DeploymentEngine} -  Deploying Web service: org.wso2.carbon.message.store-4.6.10 -  {org.apache.axis2.deployment.DeploymentEngine}
TID: [-1234] [] [2017-12-07 21:57:08,616]  INFO {org.apache.axis2.deployment.DeploymentEngine} -  Deploying Web service: org.wso2.carbon.registry.ws.api-4.6.0 -  {org.apache.axis2.deployment.DeploymentEngine}
TID: [-1234] [] [2017-12-07 21:57:11,283]  INFO {org.wso2.carbon.core.init.CarbonServerManager} -  Repository       : C:\softwares\value-labs\wso2am-2.1.0\bin\../repository/deployment/server/ {org.wso2.carbon.core.init.CarbonServerManager}
TID: [-1] [] [2017-12-07 21:57:11,289]  INFO {org.wso2.carbon.event.input.adapter.kafka.internal.ds.KafkaEventAdapterServiceHolder} -  Kafka input event adaptor waiting for dependent configurations to load {org.wso2.carbon.event.input.adapter.kafka.internal.ds.KafkaEventAdapterServiceHolder}
TID: [-1234] [] [2017-12-07 21:57:11,418]  INFO {org.wso2.carbon.event.stream.core.internal.util.helper.EventStreamConfigurationFileSystemInvoker} -  Stream definition configuration for DAS_MESSAGE_TRACE:1.0.0 saved in the filesystem {org.wso2.carbon.event.stream.core.internal.util.helper.EventStreamConfigurationFileSystemInvoker}
TID: [-1234] [] [2017-12-07 21:57:11,500]  INFO {org.wso2.carbon.event.stream.core.EventStreamDeployer} -  Stream definition is deployed successfully  : DAS_MESSAGE_TRACE:1.0.0 {org.wso2.carbon.event.stream.core.EventStreamDeployer}
TID: [-1234] [] [2017-12-07 21:57:11,529]  INFO {org.wso2.carbon.andes.core.internal.ds.QueueManagerServiceDS} -  Successfully created the queue manager service {org.wso2.carbon.andes.core.internal.ds.QueueManagerServiceDS}
TID: [-1234] [] [2017-12-07 21:57:11,539]  INFO {org.wso2.carbon.andes.core.internal.ds.SubscriptionManagerServiceDS} -  Successfully created the subscription manager service {org.wso2.carbon.andes.core.internal.ds.SubscriptionManagerServiceDS}
TID: [-1234] [] [2017-12-07 21:57:13,812]  INFO {org.wso2.carbon.core.multitenancy.eager.TenantLoadingConfig} -  Using tenant lazy loading policy... {org.wso2.carbon.core.multitenancy.eager.TenantLoadingConfig}
TID: [-1234] [] [2017-12-07 21:57:13,827]  INFO {org.wso2.carbon.core.internal.permission.update.PermissionUpdater} -  Permission cache updated for tenant -1234 {org.wso2.carbon.core.internal.permission.update.PermissionUpdater}
TID: [-1234] [] [2017-12-07 21:57:14,687]  INFO {org.wso2.carbon.apimgt.keymgt.handlers.DefaultKeyValidationHandler} -  org.wso2.carbon.apimgt.keymgt.handlers.DefaultKeyValidationHandler Initialised {org.wso2.carbon.apimgt.keymgt.handlers.DefaultKeyValidationHandler}
TID: [-1234] [] [2017-12-07 21:57:14,688]  INFO {org.wso2.carbon.apimgt.keymgt.service.APIKeyValidationService} -  Initialised KeyValidationHandler instance successfully {org.wso2.carbon.apimgt.keymgt.service.APIKeyValidationService}
TID: [-1234] [] [2017-12-07 21:57:14,829]  INFO {org.wso2.carbon.apimgt.keymgt.internal.APIKeyMgtServiceComponent} -  Started thrift key mgt service at port:10397 {org.wso2.carbon.apimgt.keymgt.internal.APIKeyMgtServiceComponent}
TID: [-1234] [] [2017-12-07 21:57:16,162]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} -  Claim manager set for class org.wso2.carbon.user.core.common.DefaultRealm {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent}
TID: [-1234] [] [2017-12-07 21:57:16,170]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} -  Claim manager set for class org.wso2.carbon.user.core.jdbc.JDBCUserStoreManager {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent}
TID: [-1234] [] [2017-12-07 21:57:16,331]  INFO {org.wso2.carbon.identity.oauth2.internal.OAuth2ServiceComponent} -  PKCE Support enabled. {org.wso2.carbon.identity.oauth2.internal.OAuth2ServiceComponent}
TID: [-1] [] [2017-12-07 21:57:17,016]  INFO {org.wso2.carbon.identity.entitlement.internal.SchemaBuilder} -  XACML policy schema loaded successfully. {org.wso2.carbon.identity.entitlement.internal.SchemaBuilder}
TID: [-1234] [] [2017-12-07 21:57:18,478]  INFO {org.wso2.carbon.mediation.initializer.ServiceBusInitializer} -  Starting ESB... {org.wso2.carbon.mediation.initializer.ServiceBusInitializer}
TID: [-1234] [] [2017-12-07 21:57:18,493]  INFO {org.wso2.carbon.mediation.initializer.ServiceBusInitializer} -  Initializing Apache Synapse... {org.wso2.carbon.mediation.initializer.ServiceBusInitializer}
TID: [-1234] [] [2017-12-07 21:57:18,562]  INFO {org.apache.synapse.SynapseControllerFactory} -  Using Synapse home : C:\softwares\value-labs\wso2am-2.1.0\. {org.apache.synapse.SynapseControllerFactory}
TID: [-1234] [] [2017-12-07 21:57:18,563]  INFO {org.apache.synapse.SynapseControllerFactory} -  Using synapse.xml location : C:\softwares\value-labs\wso2am-2.1.0\.\.\repository\deployment\server\synapse-configs\default {org.apache.synapse.SynapseControllerFactory}
TID: [-1234] [] [2017-12-07 21:57:18,567]  INFO {org.apache.synapse.SynapseControllerFactory} -  Using server name : localhost {org.apache.synapse.SynapseControllerFactory}
TID: [-1234] [] [2017-12-07 21:57:18,603]  INFO {org.apache.synapse.SynapseControllerFactory} -  The timeout handler will run every : 15s {org.apache.synapse.SynapseControllerFactory}
TID: [-1234] [] [2017-12-07 21:57:18,623]  INFO {org.apache.synapse.Axis2SynapseController} -  Initializing Synapse at : Thu Dec 07 21:57:18 IST 2017 {org.apache.synapse.Axis2SynapseController}
TID: [-1234] [] [2017-12-07 21:57:18,635]  INFO {org.wso2.carbon.mediation.initializer.CarbonSynapseController} -  Loading the mediation configuration from the file system {org.wso2.carbon.mediation.initializer.CarbonSynapseController}
TID: [-1234] [] [2017-12-07 21:57:18,638]  INFO {org.apache.synapse.config.xml.MultiXMLConfigurationBuilder} -  Building synapse configuration from the synapse artifact repository at : .\.\repository/deployment/server/synapse-configs\default {org.apache.synapse.config.xml.MultiXMLConfigurationBuilder}
